"dataset","method","errs","dist"
"primates","alfred-h","0","8"
"primates","alfred-h","1","4"
"primates","alfred-h","2","2"
"primates","alfred-h","3","2"
"primates","alfred-h","4","0"
"primates","alfred-h","5","0"
"primates","alfred-h","6","2"
"primates","alfred-h","7","2"
"primates","alfred-h","8","2"
"primates","alfred-h","9","4"
"primates","kmacs","0","8"
"primates","kmacs","1","4"
"primates","kmacs","2","6"
"primates","kmacs","3","2"
"primates","kmacs","4","2"
"primates","kmacs","5","4"
"primates","kmacs","6","4"
"primates","kmacs","7","4"
"primates","kmacs","8","4"
"primates","kmacs","9","6"
